18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:0,	2372,	EXEC_create,	C:\Users\eddie\Desktop\a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	parent_pid:2528 cmdline:'C:\Users\eddie\Desktop\a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4' image_base:0x0000000000400000 image_size:0x0006D000 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\Prefetch\A2EEBBF189540A495EA1350D2FC32-79571F04.pf,	access:0x00120089 alloc_size:0 attrib:0x00000000 share_access:0x00000000 disposition:0x00000001 options:0x00000020 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\ntdll.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\wow64.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\wow64win.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\wow64cpu.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\kernel32.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\SysWOW64\kernel32.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\user32.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\SysWOW64\ntdll.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\apisetschema.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\SysWOW64\KernelBase.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\System32\locale.nls,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Users\eddie\Desktop\a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
18:01:13:265,	a2eebbf189540a495ea1350d2fc32196d63bf150bd6b980350c5ac245f92aaf4,	2372:2028,	2372,	FILE_open,	C:\Windows\SysWOW64\user32.dll,	access:0x000000A1 alloc_size:0 attrib:0x00000080 share_access:0x00000007 disposition:0x00000001 options:0x00000140 ,	0x00000000 [操作成功完成。  ],	
